strategy,config_id,parameters_json,trades,wins,losses,signals,expectancy_R,gross_expectancy_R,avg_cost_R,profit_factor_R,max_drawdown_R,cost_share_of_gross_wins,param_adx_threshold,param_adx_window,param_atr_stop_multiplier,param_atr_stop_window,param_fast_ema,param_max_hold_bars,param_pullback_lookback,param_require_di,param_risk_reward,param_side,param_slow_ema,param_min_bars_after_reset,param_regime_ema,param_volume_mult,param_volume_window,param_vwap_slope_lookback,param_atr_window,param_level_lookback,param_reclaim_atr,param_stop_atr,param_sweep_atr,param_breakout_atr_buffer,param_lookback
rolling_range_breakout,4e444dcbdf63ed0ddb566fd2,"{""atr_stop_multiplier"":3.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":384,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",195.0,52.0,143.0,195.0,0.16490674281955142,0.2716043648838259,0.10669762206427454,1.2050347923926812,14.524227626270601,0.10681170907876845,,,3.0,14.0,,384,,,4.0,long,,,200.0,,,,21.0,,,,,0.25,384.0
rolling_range_breakout,a19116508d2f88483d46c643,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":384,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",216.0,57.0,159.0,216.0,0.16488894295350642,0.3219508201144812,0.15706187716097467,1.1945464949819875,20.98203036588381,0.14879546257355494,,,2.0,14.0,,384,,,4.0,long,,,100.0,,,,21.0,,,,,0.5,384.0
rolling_range_breakout,da06b5f9392959e33c0fb57f,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.5,""lookback"":384,""max_hold_bars"":384,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",216.0,57.0,159.0,216.0,0.16488894295350642,0.3219508201144812,0.15706187716097467,1.1945464949819875,20.98203036588381,0.14879546257355494,,,2.0,14.0,,384,,,4.0,long,,,200.0,,,,21.0,,,,,0.5,384.0
rolling_sweep_reclaim,03c86108cfbaa4e503775aef,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,17.0,12.0,29.0,0.16123006639914972,0.49464894144679483,0.3334188750476451,1.3435449084269275,4.440941940174275,0.39173850518385556,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.0,0.1,0.0,,
rolling_sweep_reclaim,1159f9f75689b2bcd261b3dd,"{""atr_window"":14,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,17.0,12.0,29.0,0.16123006639914972,0.49464894144679483,0.3334188750476451,1.3435449084269275,4.440941940174275,0.39173850518385556,,,,,,64,,,1.5,short,,,200.0,,,,14.0,96.0,0.1,0.1,0.0,,
rolling_sweep_reclaim,ae4a043b9aaa99de70b8dc51,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.0,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,17.0,12.0,29.0,0.16086442612049942,0.494656116472971,0.33379169035247147,1.3426389870029336,4.4488865960093325,0.3921543818443195,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.0,0.1,0.0,,
rolling_sweep_reclaim,11364d27a3a2c85dc6376022,"{""atr_window"":21,""level_lookback"":96,""max_hold_bars"":64,""reclaim_atr"":0.1,""regime_ema"":200,""risk_reward"":1.5,""side"":""short"",""stop_atr"":0.1,""sweep_atr"":0.0}",29.0,17.0,12.0,29.0,0.16086442612049942,0.494656116472971,0.33379169035247147,1.3426389870029336,4.4488865960093325,0.3921543818443195,,,,,,64,,,1.5,short,,,200.0,,,,21.0,96.0,0.1,0.1,0.0,,
rolling_range_breakout,6a05e48a6c37b4f3e73bf545,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":192,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",242.0,66.0,176.0,242.0,0.1593812324771566,0.31752886875357467,0.15814763627641812,1.1904386358372923,18.287889964005274,0.1522304578735086,,,2.0,14.0,,192,,,4.0,long,,,100.0,,,,21.0,,,,,0.25,384.0
rolling_range_breakout,f6df3143ce5150a604df1aee,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":21,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":192,""regime_ema"":200,""risk_reward"":4.0,""side"":""long""}",242.0,66.0,176.0,242.0,0.1593812324771566,0.31752886875357467,0.15814763627641812,1.1904386358372923,18.287889964005274,0.1522304578735086,,,2.0,14.0,,192,,,4.0,long,,,200.0,,,,21.0,,,,,0.25,384.0
rolling_range_breakout,39671e7338ec805a2202a2b4,"{""atr_stop_multiplier"":2.0,""atr_stop_window"":14,""atr_window"":14,""breakout_atr_buffer"":0.25,""lookback"":384,""max_hold_bars"":96,""regime_ema"":100,""risk_reward"":4.0,""side"":""long""}",246.0,78.0,168.0,246.0,0.15807752458273908,0.31646357613880827,0.15838605155606927,1.2012113975647005,17.017290344042507,0.1595784405412569,,,2.0,14.0,,96,,,4.0,long,,,100.0,,,,14.0,,,,,0.25,384.0
